,year,state,income
1505,2021,Tennessee,62166.0
1506,2020,Tennessee,54975.0
1507,2019,Tennessee,56627.0
1508,2018,Tennessee,56060.0
1509,2017,Tennessee,55306.0
1510,2016,Tennessee,51344.0
1511,2015,Tennessee,47330.0
1512,2014,Tennessee,43716.0
1513,2013,Tennessee,42499.0
1514,2012,Tennessee,42995.0
1515,2011,Tennessee,42279.0
1516,2010,Tennessee,38591.0
1517,2009,Tennessee,40517.0
1518,2008,Tennessee,39702.0
1519,2007,Tennessee,41195.0
1520,2006,Tennessee,40693.0
1521,2005,Tennessee,39406.0
1522,2004,Tennessee,38072.0
1523,2003,Tennessee,37523.0
1524,2002,Tennessee,37030.0
1525,2001,Tennessee,35783.0
1526,2000,Tennessee,34096.0
1527,1999,Tennessee,36522.0
1528,1998,Tennessee,34091.0
1529,1997,Tennessee,30636.0
1530,1996,Tennessee,30790.0
1531,1995,Tennessee,29015.0
1532,1994,Tennessee,28639.0
1533,1993,Tennessee,25102.0
1534,1992,Tennessee,24318.0
1535,1991,Tennessee,24453.0
1536,1990,Tennessee,22592.0
1537,1989,Tennessee,22611.0
1538,1988,Tennessee,20856.0
1539,1987,Tennessee,21179.0
1540,2021,Texas,67404.0
1541,2020,Texas,68404.0
1542,2019,Texas,67444.0
1543,2018,Texas,59785.0
1544,2017,Texas,60092.0
1545,2016,Texas,58146.0
1546,2015,Texas,56473.0
1547,2014,Texas,53875.0
1548,2013,Texas,53027.0
1549,2012,Texas,51926.0
1550,2011,Texas,49047.0
1551,2010,Texas,47266.0
1552,2009,Texas,47475.0
1553,2008,Texas,46490.0
1554,2007,Texas,46053.0
1555,2006,Texas,43307.0
1556,2005,Texas,41422.0
1557,2004,Texas,41397.0
1558,2003,Texas,39271.0
1559,2002,Texas,40149.0
1560,2001,Texas,40860.0
1561,2000,Texas,38609.0
1562,1999,Texas,38688.0
1563,1998,Texas,35783.0
1564,1997,Texas,35075.0
1565,1996,Texas,33072.0
1566,1995,Texas,32039.0
1567,1994,Texas,30755.0
1568,1993,Texas,28727.0
1569,1992,Texas,27953.0
1570,1991,Texas,27733.0
1571,1990,Texas,28228.0
1572,1989,Texas,25886.0
1573,1988,Texas,24963.0
1574,1987,Texas,24721.0
1575,2021,Utah,87649.0
1576,2020,Utah,83993.0
1577,2019,Utah,84523.0
1578,2018,Utah,77067.0
1579,2017,Utah,69789.0
1580,2016,Utah,67481.0
1581,2015,Utah,66258.0
1582,2014,Utah,63383.0
1583,2013,Utah,62967.0
1584,2012,Utah,58341.0
1585,2011,Utah,55493.0
1586,2010,Utah,56701.0
1587,2009,Utah,58491.0
1588,2008,Utah,62537.0
1589,2007,Utah,53529.0
1590,2006,Utah,54628.0
1591,2005,Utah,54813.0
1592,2004,Utah,50871.0
1593,2003,Utah,49275.0
1594,2002,Utah,47861.0
1595,2001,Utah,47342.0
1596,2000,Utah,47550.0
1597,1999,Utah,46050.0
1598,1998,Utah,44299.0
1599,1997,Utah,42775.0
1600,1996,Utah,37038.0
1601,1995,Utah,36480.0
1602,1994,Utah,35716.0
1603,1993,Utah,35786.0
1604,1992,Utah,34251.0
1605,1991,Utah,28016.0
1606,1990,Utah,30142.0
1607,1989,Utah,30717.0
1608,1988,Utah,26313.0
1609,1987,Utah,26529.0
1610,2021,Vermont,76079.0
1611,2020,Vermont,67257.0
1612,2019,Vermont,74305.0
1613,2018,Vermont,70066.0
1614,2017,Vermont,63682.0
1615,2016,Vermont,60837.0
1616,2015,Vermont,59494.0
1617,2014,Vermont,60708.0
1618,2013,Vermont,54842.0
1619,2012,Vermont,55582.0
1620,2011,Vermont,51862.0
1621,2010,Vermont,55928.0
1622,2009,Vermont,52318.0
1623,2008,Vermont,50706.0
1624,2007,Vermont,47390.0
1625,2006,Vermont,51981.0
1626,2005,Vermont,50704.0
1627,2004,Vermont,47329.0
1628,2003,Vermont,43261.0
1629,2002,Vermont,42999.0
1630,2001,Vermont,40794.0
1631,2000,Vermont,39594.0
1632,1999,Vermont,41584.0
1633,1998,Vermont,39372.0
1634,1997,Vermont,35053.0
1635,1996,Vermont,32358.0
1636,1995,Vermont,33824.0
1637,1994,Vermont,35802.0
1638,1993,Vermont,31065.0
1639,1992,Vermont,32755.0
1640,1991,Vermont,29155.0
1641,1990,Vermont,31098.0
1642,1989,Vermont,31295.0
1643,1988,Vermont,28988.0
1644,1987,Vermont,25415.0
1645,2021,Virgina,80268.0
1646,2020,Virgina,82214.0
1647,2019,Virgina,81313.0
1648,2018,Virgina,77151.0
1649,2017,Virgina,70811.0
1650,2016,Virgina,66451.0
1651,2015,Virgina,61486.0
1652,2014,Virgina,66155.0
1653,2013,Virgina,67620.0
1654,2012,Virgina,64632.0
1655,2011,Virgina,62616.0
1656,2010,Virgina,60367.0
1657,2009,Virgina,60501.0
1658,2008,Virgina,61985.0
1659,2007,Virgina,59161.0
1660,2006,Virgina,57119.0
1661,2005,Virgina,51914.0
1662,2004,Virgina,51141.0
1663,2003,Virgina,54783.0
1664,2002,Virgina,49631.0
1665,2001,Virgina,50241.0
1666,2000,Virgina,47163.0
1667,1999,Virgina,45693.0
1668,1998,Virgina,43354.0
1669,1997,Virgina,42957.0
1670,1996,Virgina,39211.0
1671,1995,Virgina,36222.0
1672,1994,Virgina,37647.0
1673,1993,Virgina,36433.0
1674,1992,Virgina,38198.0
1675,1991,Virgina,36137.0
1676,1990,Virgina,35073.0
1677,1989,Virgina,34118.0
1678,1988,Virgina,32648.0
1679,1987,Virgina,29996.0
1680,2021,Washington,87648.0
1681,2020,Washington,81358.0
1682,2019,Washington,82454.0
1683,2018,Washington,79726.0
1684,2017,Washington,71540.0
1685,2016,Washington,70310.0
1686,2015,Washington,67243.0
1687,2014,Washington,59068.0
1688,2013,Washington,60106.0
1689,2012,Washington,62187.0
1690,2011,Washington,56850.0
1691,2010,Washington,56163.0
1692,2009,Washington,60392.0
1693,2008,Washington,56631.0
1694,2007,Washington,58080.0
1695,2006,Washington,54723.0
1696,2005,Washington,50646.0
1697,2004,Washington,49922.0
1698,2003,Washington,47508.0
1699,2002,Washington,45183.0
1700,2001,Washington,42490.0
1701,2000,Washington,42525.0
1702,1999,Washington,45473.0
1703,1998,Washington,47421.0
1704,1997,Washington,44562.0
1705,1996,Washington,36676.0
1706,1995,Washington,35568.0
1707,1994,Washington,33533.0
1708,1993,Washington,35655.0
1709,1992,Washington,33900.0
1710,1991,Washington,33970.0
1711,1990,Washington,32112.0
1712,1989,Washington,31961.0
1713,1988,Washington,32327.0
1714,1987,Washington,27319.0
1715,2021,West_Virgina,46836.0
1716,2020,West_Virgina,51970.0
1717,2019,West_Virgina,53706.0
1718,2018,West_Virgina,50573.0
1719,2017,West_Virgina,46957.0
1720,2016,West_Virgina,44354.0
1721,2015,West_Virgina,42824.0
1722,2014,West_Virgina,39552.0
1723,2013,West_Virgina,40241.0
1724,2012,West_Virgina,43553.0
1725,2011,West_Virgina,41821.0
1726,2010,West_Virgina,42777.0
1727,2009,West_Virgina,40490.0
1728,2008,West_Virgina,37994.0
1729,2007,West_Virgina,42091.0
1730,2006,West_Virgina,38419.0
1731,2005,West_Virgina,36445.0
1732,2004,West_Virgina,33373.0
1733,2003,West_Virgina,32763.0
1734,2002,West_Virgina,29359.0
1735,2001,West_Virgina,29673.0
1736,2000,West_Virgina,29411.0
1737,1999,West_Virgina,29297.0
1738,1998,West_Virgina,26704.0
1739,1997,West_Virgina,27488.0
1740,1996,West_Virgina,25247.0
1741,1995,West_Virgina,24880.0
1742,1994,West_Virgina,23564.0
1743,1993,West_Virgina,22421.0
1744,1992,West_Virgina,20271.0
1745,1991,West_Virgina,23147.0
1746,1990,West_Virgina,22137.0
1747,1989,West_Virgina,21677.0
1748,1988,West_Virgina,19353.0
1749,1987,West_Virgina,17207.0
1750,2021,Wisconsin,69943.0
1751,2020,Wisconsin,67405.0
1752,2019,Wisconsin,67355.0
1753,2018,Wisconsin,62629.0
1754,2017,Wisconsin,63482.0
1755,2016,Wisconsin,59817.0
1756,2015,Wisconsin,55425.0
1757,2014,Wisconsin,58080.0
1758,2013,Wisconsin,55258.0
1759,2012,Wisconsin,53079.0
1760,2011,Wisconsin,52058.0
1761,2010,Wisconsin,50351.0
1762,2009,Wisconsin,51237.0
1763,2008,Wisconsin,51200.0
1764,2007,Wisconsin,51277.0
1765,2006,Wisconsin,51692.0
1766,2005,Wisconsin,44650.0
1767,2004,Wisconsin,45732.0
1768,2003,Wisconsin,46269.0
1769,2002,Wisconsin,45903.0
1770,2001,Wisconsin,45346.0
1771,2000,Wisconsin,45088.0
1772,1999,Wisconsin,45667.0
1773,1998,Wisconsin,41327.0
1774,1997,Wisconsin,39595.0
1775,1996,Wisconsin,40001.0
1776,1995,Wisconsin,40955.0
1777,1994,Wisconsin,35388.0
1778,1993,Wisconsin,31766.0
1779,1992,Wisconsin,33308.0
1780,1991,Wisconsin,31133.0
1781,1990,Wisconsin,30711.0
1782,1989,Wisconsin,29123.0
1783,1988,Wisconsin,29575.0
1784,1987,Wisconsin,26369.0
1785,2021,Wyoming,71052.0
1786,2020,Wyoming,65450.0
1787,2019,Wyoming,65134.0
1788,2018,Wyoming,62539.0
1789,2017,Wyoming,59536.0
1790,2016,Wyoming,57829.0
1791,2015,Wyoming,60925.0
1792,2014,Wyoming,55690.0
1793,2013,Wyoming,55700.0
1794,2012,Wyoming,57512.0
1795,2011,Wyoming,54509.0
1796,2010,Wyoming,52201.0
1797,2009,Wyoming,52470.0
1798,2008,Wyoming,53337.0
1799,2007,Wyoming,48744.0
1800,2006,Wyoming,47041.0
1801,2005,Wyoming,44718.0
1802,2004,Wyoming,45397.0
1803,2003,Wyoming,42555.0
1804,2002,Wyoming,39763.0
1805,2001,Wyoming,39719.0
1806,2000,Wyoming,39629.0
1807,1999,Wyoming,37248.0
1808,1998,Wyoming,35250.0
1809,1997,Wyoming,33423.0
1810,1996,Wyoming,30953.0
1811,1995,Wyoming,31529.0
1812,1994,Wyoming,33140.0
1813,1993,Wyoming,29442.0
1814,1992,Wyoming,30209.0
1815,1991,Wyoming,29050.0
1816,1990,Wyoming,29460.0
1817,1989,Wyoming,29521.0
1818,1988,Wyoming,26419.0
1819,1987,Wyoming,27590.0
