,Date,Year,Month txt,All,Less than HS,High school,Some college,Bachelor's degree,Advanced degree,Women,Men
412,Oct-88,1988,Oct,65.90%,44.20%,68.80%,73.90%,80.70%,84.20%,56.50%,76.20%
413,Sep-88,1988,Sep,65.80%,44.20%,68.80%,73.90%,80.70%,84.10%,56.40%,76.20%
414,Aug-88,1988,Aug,65.80%,44.10%,68.80%,73.90%,80.70%,84.10%,56.40%,76.20%
415,Jul-88,1988,Jul,65.80%,44.10%,68.80%,73.90%,80.70%,84.00%,56.30%,76.20%
416,Jun-88,1988,Jun,65.70%,44.10%,68.90%,74.00%,80.70%,84.10%,56.30%,76.20%
417,May-88,1988,May,65.70%,44.00%,68.90%,73.90%,80.70%,84.10%,56.30%,76.10%
418,Apr-88,1988,Apr,65.70%,44.00%,69.00%,74.00%,80.70%,84.20%,56.30%,76.20%
419,Mar-88,1988,Mar,65.70%,44.00%,69.00%,74.00%,80.60%,84.20%,56.20%,76.20%
420,Feb-88,1988,Feb,65.70%,43.90%,69.10%,73.90%,80.50%,84.20%,56.20%,76.20%
421,Jan-88,1988,Jan,65.70%,43.90%,69.10%,73.90%,80.50%,84.20%,56.10%,76.20%
422,Dec-87,1987,Dec,65.60%,43.80%,69.10%,73.90%,80.50%,84.20%,56.00%,76.20%
423,Nov-87,1987,Nov,65.60%,43.80%,69.10%,73.90%,80.50%,84.10%,55.90%,76.20%
424,Oct-87,1987,Oct,65.60%,43.80%,69.10%,73.90%,80.40%,84.10%,55.90%,76.30%
425,Sep-87,1987,Sep,65.50%,43.80%,69.10%,73.90%,80.30%,84.00%,55.80%,76.30%
426,Aug-87,1987,Aug,65.50%,43.80%,69.20%,73.90%,80.30%,84.10%,55.80%,76.30%
427,Jul-87,1987,Jul,65.50%,43.80%,69.10%,73.80%,80.20%,84.10%,55.70%,76.30%
428,Jun-87,1987,Jun,65.50%,43.80%,69.20%,73.80%,80.20%,84.20%,55.70%,76.30%
429,May-87,1987,May,65.50%,43.80%,69.20%,73.80%,80.20%,84.30%,55.70%,76.30%
430,Apr-87,1987,Apr,65.40%,43.80%,69.20%,73.70%,80.20%,84.30%,55.60%,76.30%
431,Mar-87,1987,Mar,65.40%,43.80%,69.20%,73.60%,80.20%,84.20%,55.50%,76.30%
432,Feb-87,1987,Feb,65.40%,43.80%,69.20%,73.60%,80.20%,84.20%,55.50%,76.30%
433,Jan-87,1987,Jan,65.30%,43.80%,69.20%,73.50%,80.20%,84.10%,55.40%,76.30%
434,Dec-86,1986,Dec,65.30%,43.70%,69.20%,73.50%,80.30%,84.00%,55.40%,76.30%
435,Nov-86,1986,Nov,65.30%,43.70%,69.20%,73.50%,80.30%,84.00%,55.30%,76.30%
436,Oct-86,1986,Oct,65.20%,43.70%,69.20%,73.40%,80.30%,84.10%,55.30%,76.20%
437,Sep-86,1986,Sep,65.20%,43.60%,69.20%,73.40%,80.30%,84.20%,55.20%,76.30%
438,Aug-86,1986,Aug,65.20%,43.60%,69.10%,73.40%,80.40%,84.30%,55.10%,76.30%
439,Jul-86,1986,Jul,65.10%,43.60%,69.10%,73.30%,80.40%,84.30%,55.00%,76.30%
440,Jun-86,1986,Jun,65.00%,43.60%,69.00%,73.20%,80.30%,84.30%,54.90%,76.30%
441,May-86,1986,May,65.00%,43.60%,68.90%,73.10%,80.20%,84.20%,54.80%,76.30%
442,Apr-86,1986,Apr,64.90%,43.60%,68.90%,73.20%,80.20%,84.20%,54.70%,76.30%
443,Mar-86,1986,Mar,64.90%,43.60%,68.90%,73.10%,80.20%,84.20%,54.60%,76.30%
444,Feb-86,1986,Feb,64.90%,43.60%,68.90%,73.10%,80.20%,84.20%,54.60%,76.30%
445,Jan-86,1986,Jan,64.90%,43.60%,68.90%,73.00%,80.20%,84.30%,54.60%,76.30%
446,Dec-85,1985,Dec,64.90%,43.70%,68.90%,73.00%,80.10%,84.40%,54.50%,76.30%
447,Nov-85,1985,Nov,64.80%,43.70%,68.90%,72.90%,80.10%,84.40%,54.50%,76.30%
448,Oct-85,1985,Oct,64.80%,43.80%,68.90%,72.90%,80.00%,84.40%,54.40%,76.30%
449,Sep-85,1985,Sep,64.80%,43.80%,68.90%,72.90%,79.90%,84.30%,54.30%,76.30%
450,Aug-85,1985,Aug,64.70%,43.80%,68.90%,72.80%,79.90%,84.20%,54.20%,76.40%
451,Jul-85,1985,Jul,64.70%,43.90%,68.90%,72.80%,79.90%,84.30%,54.20%,76.40%
452,Jun-85,1985,Jun,64.70%,43.80%,68.90%,72.80%,79.90%,84.30%,54.20%,76.40%
453,May-85,1985,May,64.70%,43.90%,68.90%,72.80%,79.90%,84.40%,54.20%,76.50%
454,Apr-85,1985,Apr,64.70%,43.90%,69.00%,72.70%,79.90%,84.40%,54.10%,76.50%
455,Mar-85,1985,Mar,64.70%,43.90%,68.90%,72.70%,79.90%,84.50%,54.10%,76.50%
456,Feb-85,1985,Feb,64.60%,43.80%,68.90%,72.60%,79.80%,84.50%,54.00%,76.50%
457,Jan-85,1985,Jan,64.60%,43.80%,68.80%,72.60%,79.80%,84.60%,53.90%,76.50%
458,Dec-84,1984,Dec,64.50%,43.80%,68.80%,72.60%,79.70%,84.70%,53.80%,76.50%
459,Nov-84,1984,Nov,64.50%,43.90%,68.70%,72.50%,79.70%,84.70%,53.70%,76.50%
460,Oct-84,1984,Oct,64.50%,43.90%,68.70%,72.50%,79.70%,84.70%,53.70%,76.50%
461,Sep-84,1984,Sep,64.40%,43.90%,68.70%,72.40%,79.70%,84.70%,53.60%,76.50%
462,Aug-84,1984,Aug,64.40%,43.90%,68.80%,72.50%,79.70%,84.70%,53.60%,76.50%
463,Jul-84,1984,Jul,64.40%,44.00%,68.80%,72.50%,79.70%,84.60%,53.60%,76.50%
464,Jun-84,1984,Jun,64.40%,44.00%,68.80%,72.50%,79.60%,84.50%,53.50%,76.50%
465,May-84,1984,May,64.40%,44.00%,68.90%,72.50%,79.60%,84.40%,53.50%,76.50%
466,Apr-84,1984,Apr,64.30%,44.00%,68.80%,72.50%,79.50%,84.30%,53.40%,76.50%
467,Mar-84,1984,Mar,64.30%,44.00%,68.80%,72.40%,79.50%,84.20%,53.30%,76.50%
468,Feb-84,1984,Feb,64.20%,44.00%,68.90%,72.40%,79.40%,84.20%,53.20%,76.50%
469,Jan-84,1984,Jan,64.20%,44.00%,68.90%,72.40%,79.40%,84.20%,53.10%,76.50%
470,Dec-83,1983,Dec,64.20%,44.00%,69.00%,72.30%,79.40%,84.20%,53.10%,76.50%
471,Nov-83,1983,Nov,64.20%,44.00%,69.00%,72.30%,79.40%,84.30%,53.10%,76.50%
472,Oct-83,1983,Oct,64.20%,44.10%,69.00%,72.20%,79.40%,84.40%,53.10%,76.50%
473,Sep-83,1983,Sep,64.20%,44.10%,69.00%,72.20%,79.40%,84.50%,53.10%,76.60%
474,Aug-83,1983,Aug,64.20%,44.20%,69.10%,72.10%,79.40%,84.60%,53.00%,76.60%
475,Jul-83,1983,Jul,64.10%,44.20%,69.10%,72.10%,79.30%,84.60%,53.00%,76.60%
476,Jun-83,1983,Jun,64.10%,44.20%,69.10%,72.10%,79.30%,84.60%,53.00%,76.50%
477,May-83,1983,May,64.10%,44.30%,69.10%,72.00%,79.30%,84.50%,52.90%,76.50%
478,Apr-83,1983,Apr,64.10%,44.40%,69.20%,72.00%,79.30%,84.60%,52.90%,76.60%
479,Mar-83,1983,Mar,64.10%,44.50%,69.20%,72.00%,79.30%,84.50%,52.90%,76.60%
480,Feb-83,1983,Feb,64.20%,44.60%,69.30%,72.00%,79.30%,84.50%,52.90%,76.70%
481,Jan-83,1983,Jan,64.20%,44.70%,69.30%,72.00%,79.30%,84.60%,52.90%,76.70%
482,Dec-82,1982,Dec,64.10%,44.80%,69.30%,72.00%,79.20%,84.50%,52.80%,76.80%
483,Nov-82,1982,Nov,64.10%,44.80%,69.30%,72.00%,79.20%,84.50%,52.70%,76.80%
484,Oct-82,1982,Oct,64.10%,44.80%,69.30%,71.90%,79.20%,84.40%,52.70%,76.80%
485,Sep-82,1982,Sep,64.10%,44.90%,69.40%,71.90%,79.10%,84.40%,52.70%,76.80%
486,Aug-82,1982,Aug,64.00%,44.90%,69.40%,71.90%,79.00%,84.40%,52.60%,76.80%
487,Jul-82,1982,Jul,64.00%,44.90%,69.40%,71.80%,79.00%,84.40%,52.50%,76.90%
488,Jun-82,1982,Jun,64.00%,45.00%,69.40%,71.70%,78.90%,84.50%,52.40%,76.90%
489,May-82,1982,May,64.00%,45.00%,69.50%,71.70%,78.90%,84.60%,52.40%,76.90%
490,Apr-82,1982,Apr,64.00%,45.10%,69.50%,71.70%,78.90%,84.70%,52.30%,76.90%
491,Mar-82,1982,Mar,64.00%,45.20%,69.50%,71.80%,78.90%,84.70%,52.30%,77.00%
492,Feb-82,1982,Feb,64.00%,45.30%,69.60%,71.80%,78.90%,84.80%,52.30%,77.00%
493,Jan-82,1982,Jan,64.00%,45.30%,69.70%,71.80%,78.90%,84.80%,52.30%,77.10%
494,Dec-81,1981,Dec,64.00%,45.40%,69.70%,71.80%,78.90%,84.70%,52.30%,77.10%
495,Nov-81,1981,Nov,64.00%,45.50%,69.80%,71.80%,78.80%,84.60%,52.30%,77.10%
496,Oct-81,1981,Oct,64.00%,45.50%,69.80%,71.70%,78.80%,84.50%,52.20%,77.10%
497,Sep-81,1981,Sep,64.00%,45.60%,69.80%,71.70%,78.90%,84.50%,52.20%,77.20%
498,Aug-81,1981,Aug,64.00%,45.70%,69.80%,71.70%,78.90%,84.50%,52.20%,77.20%
499,Jul-81,1981,Jul,64.00%,45.80%,69.80%,71.60%,78.90%,84.50%,52.10%,77.30%
500,Jun-81,1981,Jun,64.00%,45.90%,69.70%,71.70%,78.80%,84.50%,52.10%,77.30%
501,May-81,1981,May,64.00%,45.90%,69.70%,71.70%,78.80%,84.50%,52.00%,77.40%
502,Apr-81,1981,Apr,64.00%,46.00%,69.70%,71.70%,78.70%,84.40%,51.90%,77.40%
503,Mar-81,1981,Mar,63.90%,45.90%,69.70%,71.70%,78.70%,84.50%,51.80%,77.40%
504,Feb-81,1981,Feb,63.90%,45.90%,69.60%,71.70%,78.60%,84.50%,51.70%,77.40%
505,Jan-81,1981,Jan,63.90%,45.90%,69.60%,71.70%,78.60%,84.50%,51.70%,77.40%
506,Dec-80,1980,Dec,63.90%,46.00%,69.60%,71.60%,78.50%,84.50%,51.70%,77.50%
507,Nov-80,1980,Nov,63.90%,46.20%,69.60%,71.60%,78.50%,84.60%,51.70%,77.50%
508,Oct-80,1980,Oct,63.90%,46.30%,69.60%,71.60%,78.50%,84.60%,51.70%,77.60%
509,Sep-80,1980,Sep,63.90%,46.40%,69.70%,71.50%,78.50%,84.60%,51.70%,77.60%
510,Aug-80,1980,Aug,64.00%,46.60%,69.70%,71.50%,78.50%,84.60%,51.70%,77.70%
511,Jul-80,1980,Jul,64.00%,46.70%,69.70%,71.40%,78.50%,84.60%,51.60%,77.70%
512,Jun-80,1980,Jun,64.00%,46.70%,69.70%,71.40%,78.40%,84.50%,51.60%,77.80%
513,May-80,1980,May,64.00%,46.80%,69.70%,71.30%,78.20%,84.50%,51.50%,77.80%
514,Apr-80,1980,Apr,63.90%,46.80%,69.70%,71.20%,78.10%,84.50%,51.50%,77.80%
515,Mar-80,1980,Mar,63.90%,46.90%,69.70%,71.10%,78.00%,84.50%,51.40%,77.90%
516,Feb-80,1980,Feb,63.90%,47.00%,69.70%,71.10%,77.90%,84.50%,51.40%,77.90%
517,Jan-80,1980,Jan,63.90%,47.10%,69.70%,71.00%,77.90%,84.50%,51.30%,77.90%
518,Dec-79,1979,Dec,63.90%,47.20%,69.70%,71.00%,77.80%,84.60%,51.20%,78.00%
519,Nov-79,1979,Nov,63.90%,47.20%,69.60%,71.10%,77.70%,84.60%,51.20%,78.00%
520,Oct-79,1979,Oct,63.90%,47.30%,69.60%,71.10%,77.60%,84.60%,51.10%,78.10%
521,Sep-79,1979,Sep,63.80%,47.30%,69.60%,71.20%,77.60%,84.60%,51.00%,78.10%
522,Aug-79,1979,Aug,63.80%,47.30%,69.50%,71.20%,77.50%,84.50%,50.90%,78.10%
523,Jul-79,1979,Jul,63.70%,47.30%,69.40%,71.20%,77.40%,84.50%,50.80%,78.10%
524,Jun-79,1979,Jun,63.70%,47.40%,69.40%,71.20%,77.40%,84.50%,50.80%,78.10%
525,May-79,1979,May,63.70%,47.40%,69.30%,71.20%,77.50%,84.50%,50.70%,78.10%
526,Apr-79,1979,Apr,63.60%,47.50%,69.30%,71.20%,77.50%,84.50%,50.70%,78.10%
527,Mar-79,1979,Mar,63.60%,47.50%,69.20%,71.20%,77.50%,84.60%,50.60%,78.10%
528,Feb-79,1979,Feb,63.50%,47.50%,69.20%,71.10%,77.50%,84.60%,50.50%,78.10%
529,Jan-79,1979,Jan,63.40%,47.50%,69.10%,71.00%,77.40%,84.50%,50.40%,78.00%
530,Dec-78,1978,Dec,63.40%,47.40%,69.00%,70.80%,77.40%,84.50%,50.20%,78.00%
